# Alert SMARTS patterns selected to be used as filters
Alert Name,Alert SMARTS
ALERT_SCMT_Acetylinic_Iodide,C#CI
ALERT_SCMT_Acyc_Imine_1,C[C&D2]=!@N[!O]
ALERT_SCMT_Acyc_Imine_2,"CC([C,H])=!@N[!O]"
ALERT_SCMT_Acyl_Cyanide,N#CC(=O)
ALERT_SCMT_Acyl_Halide,"C(=[O,S])[F,Cl,Br,I]"
ALERT_SCMT_Aldehyde,[#6][CH1]=O
ALERT_SCMT_Aliphatic_Triflate,COS(=O)(=O)C(F)(F)F
ALERT_SCMT_AlkylEnamine,"[C;H1$(C([#6;!$(C=O)])),H0$(C([#6;!$(C=O)])[#6;!$(C=O)])]=[CH1]!@N([#6;!$(C(=O))])[#6;!$(C(=O))]"
ALERT_SCMT_Alkyl_Halide,"[CX4][Cl,Br,I]"
ALERT_SCMT_Allene,*=C=*
ALERT_SCMT_Amino_Napthalimide,c1(N)ccc(C(=O)NC3(=O))c(c3ccc2)c21
ALERT_SCMT_Amino_dienol,N!@C=C-C=[C!r]([OH])
ALERT_SCMT_Aminonitrile,NC#N
ALERT_SCMT_Anhydride,"[#6]C(=O)-!@OC(=[O,N])"
ALERT_SCMT_Any_Cabazide,O=*N=[N+]=[N-]
ALERT_SCMT_Azanitrone,N=[N+]([O-])C
ALERT_SCMT_Azobenzene,c1ccccc1[N!r]=[N!r]c2ccccc2
ALERT_SCMT_Azocyanamide,[N;R0]=[N;R0]C#N
ALERT_SCMT_CCl3_CHO_releasing,"C(Cl)(Cl)(Cl)C([O,S])[$([NX4+]),$([NX3]);!$(*=*)&!$(*:*)]"
ALERT_SCMT_Carbamothioate,N[C!r](=O)S
ALERT_SCMT_Chloramidine,[Cl]C([C&R0])=N
ALERT_SCMT_Conjugated_Dithioether,SC(=[!r])S
ALERT_SCMT_Crown_Ether_12CRO4,O1CCOCCOCCOCC1
ALERT_SCMT_Crown_Ether_15CRO5,O1CCOCCOCCOCCOCC1
